Reporting Area,MMWR YEAR,MMWR WEEK,"All causes, by age (years), All Ages","All causes, by age (years), All Ages, flag","All causes, by age (years), GE 65","All causes, by age (years), GE 65, flag","All causes, by age (years), 45–64","All causes, by age (years), 45–64, flag","All causes, by age (years), 25–44","All causes, by age (years), 25–44, flag","All causes, by age (years), 1–24","All causes, by age (years), 1–24, flag","All causes, by age (years), LT 1","All causes, by age (years), LT 1, flag",P&I† Total,"P&I† Total, flag",Location 1,Location 2
"Wichita, KS",2014,2,96,,64,,19,,8,,3,,2,,4,,"Wichita, KS
(37.68698211500049, -97.33557577399966)",
S. Atlantic,2014,2,1263,,812,,327,,67,,34,,19,,86,,,
"Atlanta, GA",2014,2,159,,85,,46,,17,,9,,2,,10,,"Atlanta, GA
(33.748314149000464, -84.39110931499965)",
"Baltimore, MD",2014,2,139,,77,,44,,9,,8,,1,,6,,"Baltimore, MD
(39.2905806980005, -76.60925970899967)",
"Charlotte, NC",2014,2,182,,131,,33,,7,,3,,4,,13,,"Charlotte, NC
(35.22286327700044, -80.83795956899968)",
"Jacksonville, FL",2014,2,166,,104,,45,,10,,3,,4,,13,,"Jacksonville, FL
(30.331471355000474, -81.65621662999968)",
"Miami, FL",2014,2,70,,53,,13,,2,,1,,1,,1,,"Miami, FL
(25.77481304000048, -80.19772778299966)",
"Norfolk, VA",2014,2,84,,60,,14,,5,,1,,4,,10,,"Norfolk, VA
(36.84682304600045, -76.28505728799968)",
"Richmond, VA",2014,2,87,,55,,27,,4,,1,,,-,2,,"Richmond, VA
(37.54070224600048, -77.43364879599966)",
"Savannah, GA",2014,2,71,,51,,15,,4,,1,,,-,10,,"Savannah, GA
(32.080912122000484, -81.09118590699967)",
"St. Petersburg, FL",2014,2,50,,28,,19,,1,,2,,,-,2,,"St. Petersburg, FL
(27.771191804000466, -82.63875661699967)",
"Tampa, FL",2014,2,113,,77,,27,,4,,3,,2,,8,,"Tampa, FL
(27.946532922000472, -82.45926644299965)",
"Washington, D.C.",2014,2,127,,81,,40,,3,,2,,1,,9,,"Washington, D.C.
(38.89510854700046, -77.03636591599968)",
"Wilmington, DE",2014,2,15,,10,,4,,1,,,-,,-,2,,"Wilmington, DE
(39.7402328550005, -75.55083980499967)",
E.S. Central,2014,2,1221,,781,,331,,65,,24,,20,,118,,,
"Birmingham, AL",2014,2,280,,177,,70,,20,,7,,6,,39,,"Birmingham, AL
(33.520683327000484, -86.81175909799964)",
"Chattanooga, TN",2014,2,113,,77,,28,,6,,1,,1,,14,,"Chattanooga, TN
(35.046441350000464, -85.30945730199966)",
"Knoxville, TN",2014,2,112,,63,,36,,7,,3,,3,,1,,"Knoxville, TN
(35.960492900000474, -83.92090839299965)",
"Lexington, KY",2014,2,92,,64,,24,,3,,1,,,-,2,,"Lexington, KY
(38.04859302400047, -84.50031565799964)",
"Memphis, TN",2014,2,229,,156,,53,,12,,5,,3,,28,,"Memphis, TN
(35.14976130600047, -90.04924570399965)",
"Mobile, AL",2014,2,121,,81,,29,,8,,2,,1,,13,,"Mobile, AL
(30.686391968000464, -88.05323763099966)",
"Montgomery, AL",2014,2,82,,58,,20,,3,,1,,,-,4,,"Montgomery, AL
(32.38012195900046, -86.30062589499965)",
"Nashville, TN",2014,2,192,,105,,71,,6,,4,,6,,17,,"Nashville, TN
(36.16784292800048, -86.77815577199965)",
W.S. Central,2014,2,2055,,1325,,494,,153,,47,,36,,121,,,
"Austin, TX",2014,2,138,,100,,29,,5,,3,,1,,13,,"Austin, TX
(30.267600919000472, -97.74297813599969)",
"Baton Rouge, LA",2014,2,157,,99,,43,,9,,1,,5,,15,,"Baton Rouge, LA
(30.443343989000482, -91.18698893099969)",
"Corpus Christi, TX",2014,2,78,,54,,17,,6,,1,,,-,6,,"Corpus Christi, TX
(27.79641216300047, -97.40355953599965)",
"Dallas, TX",2014,2,303,,172,,95,,20,,9,,7,,17,,"Dallas, TX
(32.778154335000465, -96.79539918599966)",
"El Paso, TX",2014,2,138,,95,,30,,7,,3,,3,,,-,"El Paso, TX
(31.759161618000462, -106.4874888869997)",
"Fort Worth, TX",2014,2,,U,,U,,U,,U,,U,,U,,U,"Fort Worth, TX
(32.750951005000445, -97.33085951799967)",
"Houston, TX",2014,2,556,,338,,129,,68,,11,,10,,16,,"Houston, TX
(29.760451522000437, -95.36977674999969)",
"Little Rock, AR",2014,2,102,,70,,20,,7,,3,,2,,6,,"Little Rock, AR
(34.748651751000466, -92.27448794899965)",
"New Orleans, LA",2014,2,95,,48,,31,,9,,5,,2,,4,,"New Orleans, LA
(29.953701909000472, -90.07774868499968)",
"San Antonio, TX",2014,2,327,,239,,62,,15,,9,,2,,26,,"San Antonio, TX
(29.42458351300047, -98.49460914499969)",
"Shreveport, LA",2014,2,103,,66,,26,,6,,1,,4,,13,,"Shreveport, LA
(32.51461118700047, -93.74726848099965)",
"Tulsa, OK",2014,2,58,,44,,12,,1,,1,,,-,5,,"Tulsa, OK
(36.149741615000494, -95.99332745899966)",
Mountain,2014,2,1210,,850,,274,,61,,15,,9,,95,,,
"Albuquerque, NM",2014,2,143,,100,,32,,9,,2,,,-,13,,"Albuquerque, NM
(35.08418033400045, -106.64863657599966)",
"Boise, ID",2014,2,74,,58,,12,,3,,1,,,-,7,,"Boise, ID
(43.6069823790005, -116.1934057949997)",
"Colorado Springs, CO",2014,2,112,,87,,17,,6,,2,,,-,3,,"Colorado Springs, CO
(38.83343433700048, -104.82180632899968)",
"Denver, CO",2014,2,97,,64,,23,,7,,2,,1,,2,,"Denver, CO
(39.74001401400045, -104.9922972059997)",
"Las Vegas, NV",2014,2,346,,219,,108,,12,,4,,3,,38,,"Las Vegas, NV
(36.17191159200047, -115.13996564999968)",
"Ogden, UT",2014,2,39,,29,,7,,2,,,-,1,,6,,"Ogden, UT
(41.22236104300049, -111.97047620299969)",
"Phoenix, AZ",2014,2,,U,,U,,U,,U,,U,,U,,U,"Phoenix, AZ
(33.448260210000456, -112.0757657309997)",
"Pueblo, CO",2014,2,41,,23,,10,,5,,2,,,-,4,,"Pueblo, CO
(38.26386153800047, -104.61236614299969)",
"Salt Lake City, UT",2014,2,178,,133,,29,,11,,2,,3,,15,,"Salt Lake City, UT
(40.92177563200045, -111.9868580479997)",
"Tucson, AZ",2014,2,180,,137,,36,,6,,,-,1,,7,,"Tucson, AZ
(32.22155124200049, -110.96975897999971)",
Pacific,2014,2,2159,,1545,,460,,91,,35,,28,,205,,,
"Berkeley, CA",2014,2,15,,11,,3,,1,,,-,,-,,-,"Berkeley, CA
(37.86988442700044, -122.2705386769997)",
"Fresno, CA",2014,2,176,,126,,37,,9,,2,,2,,18,,"Fresno, CA
(36.74068048300046, -119.78572815899969)",
"Glendale, CA",2014,2,47,,37,,9,,1,,,-,,-,10,,"Glendale, CA
(34.146333127000446, -118.24863950799971)",
"Honolulu, HI",2014,2,94,,71,,16,,3,,3,,1,,11,,"Honolulu, HI
(21.30485166200043, -157.85774691599974)",
"Long Beach, CA",2014,2,81,,53,,24,,2,,2,,,-,10,,"Long Beach, CA
(33.76672362600044, -118.19239725799969)",
"Los Angeles, CA",2014,2,289,,194,,70,,14,,7,,4,,42,,"Los Angeles, CA
(34.05349076500045, -118.24531669099969)",
"Pasadena, CA",2014,2,31,,25,,5,,,-,,-,1,,,-,"Pasadena, CA
(34.14745413100047, -118.14426554199969)",
"Portland, OR",2014,2,144,,105,,29,,9,,,-,1,,13,,"Portland, OR
(45.511787169000456, -122.6756275729997)",
"Sacramento, CA",2014,2,284,,207,,63,,8,,3,,3,,29,,"Sacramento, CA
(38.57933263300049, -121.49089596399972)",
"San Diego, CA",2014,2,188,,140,,37,,6,,3,,2,,14,,"San Diego, CA
(32.71569073700044, -117.16171662299968)",
"San Francisco, CA",2014,2,139,,98,,30,,6,,2,,3,,16,,"San Francisco, CA
(37.777122455000494, -122.4196366869997)",
"San Jose, CA",2014,2,277,,205,,54,,12,,5,,1,,17,,"San Jose, CA
(37.33858208200047, -121.8855697949997)",
"Santa Cruz, CA",2014,2,31,,23,,7,,1,,,-,,-,6,,"Santa Cruz, CA
(36.974023514000464, -122.03094750099973)",
"Seattle, WA",2014,2,156,,100,,35,,10,,4,,7,,6,,"Seattle, WA
(47.603567400000486, -122.32944721899969)",
"Spokane, WA",2014,2,70,,51,,13,,3,,1,,2,,6,,"Spokane, WA
(47.65725947700048, -117.41227666799972)",
"Tacoma, WA",2014,2,137,,99,,28,,6,,3,,1,,7,,"Tacoma, WA
(47.255127174000506, -122.44163694999969)",
Total¶,2014,2,13005,,8952,,2977,,656,,225,,187,,970,,,
New England,2014,3,628,,427,,149,,38,,8,,6,,50,,,
"Boston, MA",2014,3,168,,111,,38,,13,,3,,3,,14,,"Boston, MA
(42.35866170200046, -71.05673887699965)",
"Bridgeport, CT",2014,3,46,,28,,15,,1,,,-,2,,2,,"Bridgeport, CT
(41.1818843100005, -73.19126911399962)",
"Cambridge, MA",2014,3,23,,19,,3,,1,,,-,,-,3,,"Cambridge, MA
(42.36679009800048, -71.10600946299962)",
"Fall River, MA",2014,3,23,,17,,4,,1,,1,,,-,5,,"Fall River, MA
(41.697354146000464, -71.14364572399967)",
"Hartford, CT",2014,3,59,,41,,12,,5,,,-,1,,4,,"Hartford, CT
(41.763493388000484, -72.67401728199962)",
"Lowell, MA",2014,3,31,,24,,6,,1,,,-,,-,3,,"Lowell, MA
(42.64588438700048, -71.31283694999962)",
"Lynn, MA",2014,3,11,,9,,1,,1,,,-,,-,1,,"Lynn, MA
(42.463701125000455, -70.95021669199963)",
"New Bedford, MA",2014,3,27,,22,,5,,,-,,-,,-,2,,"New Bedford, MA
(41.637672961000476, -70.93086932199964)",
"New Haven, CT",2014,3,49,,29,,16,,2,,2,,,-,5,,"New Haven, CT
(41.307624346000466, -72.92461752399964)",
"Providence, RI",2014,3,76,,53,,17,,4,,2,,,-,,-,"Providence, RI
(41.82387129300048, -71.41198998599964)",
"Somerville, MA",2014,3,5,,3,,2,,,-,,-,,-,,-,"Somerville, MA
(42.38668233800047, -71.09825622299962)",
"Springfield, MA",2014,3,26,,14,,6,,6,,,-,,-,2,,"Springfield, MA
(42.10125058000045, -72.58928991799962)",
"Waterbury, CT",2014,3,30,,20,,10,,,-,,-,,-,3,,"Waterbury, CT
(41.55407106600046, -73.04616830899965)",
"Worcester, MA",2014,3,54,,37,,14,,3,,,-,,-,6,,"Worcester, MA
(42.26341208400049, -71.80218873199965)",
Mid. Atlantic,2014,3,2238,,1580,,488,,114,,36,,20,,129,,,
"Albany, NY",2014,3,57,,37,,14,,3,,1,,2,,2,,"Albany, NY
(42.65155193300046, -73.75520562899965)",
"Allentown, PA",2014,3,26,,19,,6,,1,,,-,,-,3,,"Allentown, PA
(40.6026020970005, -75.47025702899964)",
"Buffalo, NY",2014,3,96,,70,,21,,3,,1,,1,,12,,"Buffalo, NY
(42.88544430100046, -78.87845781999965)",
"Camden, NJ",2014,3,,U,,U,,U,,U,,U,,U,,U,"Camden, NJ
(39.94525155200046, -75.11912817799964)",
"Elizabeth, NJ",2014,3,28,,15,,8,,3,,1,,1,,3,,"Elizabeth, NJ
(40.66351147400047, -74.21145875999963)",
"Erie, PA",2014,3,53,,36,,12,,5,,,-,,-,1,,"Erie, PA
(42.1294409300005, -80.08523881899964)",
"Jersey City, NJ",2014,3,26,,18,,6,,1,,1,,,-,4,,"Jersey City, NJ
(40.71747152000046, -74.04383961799965)",
"New York City, NY",2014,3,1485,,1028,,343,,79,,23,,12,,64,,"New York City, NY
(40.71455065700047, -74.00711891899965)",
"Newark, NJ",2014,3,32,,18,,8,,2,,4,,,-,,-,"Newark, NJ
(40.73197311400048, -74.17420658799966)",
"Paterson, NJ",2014,3,,U,,U,,U,,U,,U,,U,,U,"Paterson, NJ
(40.916612760000476, -74.17163854999967)",
"Philadelphia, PA",2014,3,,U,,U,,U,,U,,U,,U,,U,"Philadelphia, PA
(39.95228127500047, -75.16244984999963)",
"Pittsburgh, PA§",2014,3,50,,40,,8,,1,,1,,,-,4,,"Pittsburgh, PA
(40.43834150200047, -79.99746553899968)",
"Reading, PA",2014,3,35,,33,,1,,,-,,-,1,,2,,"Reading, PA
(40.33662042900045, -75.92783660599963)",
"Rochester, NY",2014,3,172,,131,,28,,8,,2,,3,,15,,"Rochester, NY
(43.15580279700049, -77.61631886899966)",
"Schenectady, NY",2014,3,29,,22,,7,,,-,,-,,-,3,,"Schenectady, NY
(42.8122530060005, -73.94101987199963)",
"Scranton, PA",2014,3,31,,24,,6,,1,,,-,,-,3,,"Scranton, PA
(41.41015379200047, -75.66077859599966)",
"Syracuse, NY",2014,3,75,,57,,13,,3,,2,,,-,10,,"Syracuse, NY
(43.0499907300005, -76.14738815999965)",
"Trenton, NJ",2014,3,,U,,U,,U,,U,,U,,U,,U,"Trenton, NJ
(40.217883319000464, -74.75939751899966)",
"Utica, NY",2014,3,20,,14,,3,,3,,,-,,-,,-,"Utica, NY
(43.09589383800045, -75.24257707799967)",
"Yonkers, NY",2014,3,23,,18,,4,,1,,,-,,-,3,,"Yonkers, NY
(40.93299013900048, -73.89873881399967)",
E.N. Central,2014,3,2559,,1743,,623,,114,,39,,40,,221,,,
"Akron, OH",2014,3,55,,37,,11,,3,,1,,3,,8,,"Akron, OH
(41.08419170600047, -81.51405901999965)",
"Canton, OH",2014,3,51,,37,,10,,2,,1,,1,,10,,"Canton, OH
(40.79781312300048, -81.37156644799967)",
"Chicago, IL",2014,3,321,,197,,92,,24,,5,,3,,33,,"Chicago, IL
(41.88425366500047, -87.63244574499964)",
"Cincinnati, OH",2014,3,110,,77,,24,,5,,2,,2,,8,,"Cincinnati, OH
(39.10713351400045, -84.50412975199964)",
"Cleveland, OH",2014,3,378,,273,,85,,13,,6,,1,,24,,"Cleveland, OH
(41.50475135200048, -81.69071765199965)",
"Columbus, OH",2014,3,327,,198,,94,,20,,5,,10,,26,,"Columbus, OH
(39.96199068800047, -83.00274798399965)",
"Dayton, OH",2014,3,159,,108,,38,,6,,2,,5,,8,,"Dayton, OH
(39.75911127900048, -84.19443785699968)",
"Detroit, MI",2014,3,,U,,U,,U,,U,,U,,U,,U,"Detroit, MI
(42.331681680000486, -83.04799903299966)",
"Evansville, IN",2014,3,57,,40,,14,,1,,2,,,-,3,,"Evansville, IN
(37.97708100100044, -87.56404663099966)",
"Fort Wayne, IN",2014,3,98,,69,,20,,6,,,-,3,,7,,"Fort Wayne, IN
(41.08026149200049, -85.13830990099967)",
"Gary, IN",2014,3,17,,9,,7,,1,,,-,,-,1,,"Gary, IN
(41.603712343000495, -87.33716612199964)",
"Grand Rapids, MI",2014,3,75,,50,,20,,1,,2,,2,,7,,"Grand Rapids, MI
(42.966411166000455, -85.67117986599965)",
"Indianapolis, IN",2014,3,302,,196,,85,,10,,9,,2,,40,,"Indianapolis, IN
(39.76691364600049, -86.14995579899966)",
"Lansing, MI",2014,3,67,,52,,12,,2,,1,,,-,4,,"Lansing, MI
(42.731942666000464, -84.55224806999968)",
"Milwaukee, WI",2014,3,97,,66,,20,,7,,,-,4,,13,,"Milwaukee, WI
(43.041813206000484, -87.90683717599967)",
"Peoria, IL",2014,3,62,,49,,11,,,-,1,,1,,5,,"Peoria, IL
(40.69214397400049, -89.58775824399964)",
"Rockford, IL",2014,3,65,,52,,11,,1,,,-,1,,7,,"Rockford, IL
(42.2669001480005, -89.07834897499964)",
"South Bend, IN",2014,3,73,,54,,16,,2,,,-,1,,5,,"South Bend, IN
(41.679051856000456, -86.25403946499966)",
"Toledo, OH",2014,3,166,,115,,42,,6,,2,,1,,10,,"Toledo, OH
(41.65381363300048, -83.53625660699964)",
"Youngstown, OH",2014,3,79,,64,,11,,4,,,-,,-,2,,"Youngstown, OH
(41.09810376900049, -80.65078761499967)",
W.N. Central,2014,3,843,,532,,229,,52,,16,,12,,65,,,
"Des Moines, IA",2014,3,77,,51,,19,,2,,3,,2,,5,,"Des Moines, IA
(41.58976008400049, -93.61564652299967)",
"Duluth, MN",2014,3,35,,27,,8,,,-,,-,,-,2,,"Duluth, MN
(46.787958768000465, -92.09984801699966)",
"Kansas City, KS",2014,3,41,,20,,17,,1,,3,,,-,1,,"Kansas City, KS
(39.11352011100047, -94.6268190079997)",
"Kansas City, MO",2014,3,125,,82,,30,,10,,1,,,-,13,,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",
"Lincoln, NC",2014,3,51,,39,,11,,1,,,-,,-,4,,"Lincoln, NC
(35.568614881000485, -81.50048638499965)",
"Minneapolis, MN",2014,3,84,,38,,34,,7,,4,,1,,11,,"Minneapolis, MN
(44.97902885900049, -93.26492855899966)",
"Omaha, NE",2014,3,118,,82,,27,,3,,2,,4,,9,,"Omaha, NE
(41.2606940230005, -95.94058667399969)",
"St. Louis, MO",2014,3,134,,68,,48,,14,,2,,2,,13,,"St. Louis, MO
(38.62775018400049, -90.19955850799965)",
"St. Paul, MN",2014,3,66,,52,,9,,2,,1,,2,,6,,"St. Paul, MN
(44.9438177180005, -93.09331667699968)",
"Wichita, KS",2014,3,112,,73,,26,,12,,,-,1,,1,,"Wichita, KS
(37.68698211500049, -97.33557577399966)",
S. Atlantic,2014,3,1211,,800,,292,,80,,23,,16,,92,,,
"Atlanta, GA",2014,3,230,,144,,63,,15,,7,,1,,17,,"Atlanta, GA
(33.748314149000464, -84.39110931499965)",
"Baltimore, MD",2014,3,160,,89,,49,,16,,2,,4,,12,,"Baltimore, MD
(39.2905806980005, -76.60925970899967)",
"Charlotte, NC",2014,3,161,,110,,32,,12,,5,,2,,15,,"Charlotte, NC
(35.22286327700044, -80.83795956899968)",
"Jacksonville, FL",2014,3,220,,163,,44,,11,,2,,,-,15,,"Jacksonville, FL
(30.331471355000474, -81.65621662999968)",
"Miami, FL",2014,3,49,,37,,10,,1,,,-,1,,3,,"Miami, FL
(25.77481304000048, -80.19772778299966)",
"Norfolk, VA",2014,3,50,,33,,11,,6,,,-,,-,6,,"Norfolk, VA
(36.84682304600045, -76.28505728799968)",
"Richmond, VA",2014,3,56,,31,,20,,4,,1,,,-,3,,"Richmond, VA
(37.54070224600048, -77.43364879599966)",
"Savannah, GA",2014,3,92,,55,,31,,3,,1,,2,,12,,"Savannah, GA
(32.080912122000484, -81.09118590699967)",
"St. Petersburg, FL",2014,3,57,,41,,9,,3,,1,,3,,4,,"St. Petersburg, FL
(27.771191804000466, -82.63875661699967)",
"Tampa, FL",2014,3,118,,80,,22,,9,,4,,3,,4,,"Tampa, FL
(27.946532922000472, -82.45926644299965)",
"Washington, D.C.",2014,3,,U,,U,,U,,U,,U,,U,,U,"Washington, D.C.
(38.89510854700046, -77.03636591599968)",
"Wilmington, DE",2014,3,18,,17,,1,,,-,,-,,-,1,,"Wilmington, DE
(39.7402328550005, -75.55083980499967)",
E.S. Central,2014,3,1148,,760,,283,,67,,21,,17,,96,,,
"Birmingham, AL",2014,3,170,,99,,48,,15,,3,,5,,17,,"Birmingham, AL
(33.520683327000484, -86.81175909799964)",
"Chattanooga, TN",2014,3,143,,102,,31,,5,,3,,2,,13,,"Chattanooga, TN
(35.046441350000464, -85.30945730199966)",
"Knoxville, TN",2014,3,139,,94,,32,,11,,1,,1,,4,,"Knoxville, TN
(35.960492900000474, -83.92090839299965)",
"Lexington, KY",2014,3,86,,53,,30,,2,,1,,,-,6,,"Lexington, KY
(38.04859302400047, -84.50031565799964)",
"Memphis, TN",2014,3,217,,142,,51,,14,,7,,3,,22,,"Memphis, TN
(35.14976130600047, -90.04924570399965)",
"Mobile, AL",2014,3,120,,90,,20,,7,,2,,1,,7,,"Mobile, AL
(30.686391968000464, -88.05323763099966)",
"Montgomery, AL",2014,3,74,,49,,19,,1,,3,,2,,5,,"Montgomery, AL
(32.38012195900046, -86.30062589499965)",
"Nashville, TN",2014,3,199,,131,,52,,12,,1,,3,,22,,"Nashville, TN
(36.16784292800048, -86.77815577199965)",
W.S. Central,2014,3,1848,,1176,,464,,134,,41,,33,,144,,,
"Austin, TX",2014,3,129,,75,,32,,14,,4,,4,,8,,"Austin, TX
(30.267600919000472, -97.74297813599969)",
"Baton Rouge, LA",2014,3,114,,71,,30,,7,,2,,4,,10,,"Baton Rouge, LA
(30.443343989000482, -91.18698893099969)",
"Corpus Christi, TX",2014,3,100,,60,,28,,6,,2,,4,,20,,"Corpus Christi, TX
(27.79641216300047, -97.40355953599965)",
"Dallas, TX",2014,3,247,,139,,66,,23,,8,,11,,28,,"Dallas, TX
(32.778154335000465, -96.79539918599966)",
"El Paso, TX",2014,3,170,,120,,33,,10,,5,,2,,,-,"El Paso, TX
(31.759161618000462, -106.4874888869997)",
"Fort Worth, TX",2014,3,,U,,U,,U,,U,,U,,U,,U,"Fort Worth, TX
(32.750951005000445, -97.33085951799967)",
"Houston, TX",2014,3,471,,292,,136,,33,,8,,2,,20,,"Houston, TX
(29.760451522000437, -95.36977674999969)",
"Little Rock, AR",2014,3,,U,,U,,U,,U,,U,,U,,U,"Little Rock, AR
(34.748651751000466, -92.27448794899965)",
"New Orleans, LA",2014,3,80,,45,,22,,8,,4,,1,,1,,"New Orleans, LA
(29.953701909000472, -90.07774868499968)",
"San Antonio, TX",2014,3,361,,241,,84,,27,,4,,5,,41,,"San Antonio, TX
(29.42458351300047, -98.49460914499969)",
"Shreveport, LA",2014,3,106,,72,,26,,4,,4,,,-,11,,"Shreveport, LA
(32.51461118700047, -93.74726848099965)",
"Tulsa, OK",2014,3,70,,61,,7,,2,,,-,,-,5,,"Tulsa, OK
(36.149741615000494, -95.99332745899966)",
Mountain,2014,3,1156,,810,,259,,59,,15,,12,,110,,,
"Albuquerque, NM",2014,3,198,,133,,51,,13,,,-,1,,20,,"Albuquerque, NM
(35.08418033400045, -106.64863657599966)",
"Boise, ID",2014,3,54,,42,,6,,1,,2,,3,,6,,"Boise, ID
(43.6069823790005, -116.1934057949997)",
"Colorado Springs, CO",2014,3,96,,73,,15,,8,,,-,,-,12,,"Colorado Springs, CO
(38.83343433700048, -104.82180632899968)",
"Denver, CO",2014,3,140,,83,,46,,10,,,-,1,,5,,"Denver, CO
(39.74001401400045, -104.9922972059997)",
"Las Vegas, NV",2014,3,278,,196,,62,,12,,4,,3,,30,,"Las Vegas, NV
(36.17191159200047, -115.13996564999968)",
"Ogden, UT",2014,3,34,,26,,4,,2,,1,,1,,4,,"Ogden, UT
(41.22236104300049, -111.97047620299969)",
"Phoenix, AZ",2014,3,,U,,U,,U,,U,,U,,U,,U,"Phoenix, AZ
(33.448260210000456, -112.0757657309997)",
"Pueblo, CO",2014,3,35,,23,,8,,3,,1,,,-,9,,"Pueblo, CO
(38.26386153800047, -104.61236614299969)",
"Salt Lake City, UT",2014,3,128,,86,,30,,5,,5,,2,,11,,"Salt Lake City, UT
(40.92177563200045, -111.9868580479997)",
"Tucson, AZ",2014,3,193,,148,,37,,5,,2,,1,,13,,"Tucson, AZ
(32.22155124200049, -110.96975897999971)",
Pacific,2014,3,2051,,1416,,467,,87,,50,,30,,197,,,
"Berkeley, CA",2014,3,17,,11,,6,,,-,,-,,-,,-,"Berkeley, CA
(37.86988442700044, -122.2705386769997)",
"Fresno, CA",2014,3,171,,117,,36,,9,,5,,4,,18,,"Fresno, CA
(36.74068048300046, -119.78572815899969)",
"Glendale, CA",2014,3,38,,31,,6,,1,,,-,,-,8,,"Glendale, CA
(34.146333127000446, -118.24863950799971)",
"Honolulu, HI",2014,3,75,,55,,11,,3,,3,,3,,6,,"Honolulu, HI
(21.30485166200043, -157.85774691599974)",
"Long Beach, CA",2014,3,75,,48,,23,,2,,2,,,-,6,,"Long Beach, CA
(33.76672362600044, -118.19239725799969)",
"Los Angeles, CA",2014,3,278,,185,,71,,12,,8,,2,,33,,"Los Angeles, CA
(34.05349076500045, -118.24531669099969)",
"Pasadena, CA",2014,3,27,,21,,5,,1,,,-,,-,3,,"Pasadena, CA
(34.14745413100047, -118.14426554199969)",
"Portland, OR",2014,3,146,,93,,42,,6,,4,,1,,7,,"Portland, OR
(45.511787169000456, -122.6756275729997)",
"Sacramento, CA",2014,3,285,,197,,65,,11,,9,,3,,31,,"Sacramento, CA
(38.57933263300049, -121.49089596399972)",
"San Diego, CA",2014,3,178,,123,,35,,11,,6,,3,,14,,"San Diego, CA
(32.71569073700044, -117.16171662299968)",
"San Francisco, CA",2014,3,121,,86,,32,,,-,2,,1,,19,,"San Francisco, CA
(37.777122455000494, -122.4196366869997)",
"San Jose, CA",2014,3,274,,206,,48,,12,,1,,6,,28,,"San Jose, CA
(37.33858208200047, -121.8855697949997)",
"Santa Cruz, CA",2014,3,42,,26,,14,,1,,1,,,-,2,,"Santa Cruz, CA
(36.974023514000464, -122.03094750099973)",
"Seattle, WA",2014,3,116,,80,,21,,7,,2,,6,,10,,"Seattle, WA
(47.603567400000486, -122.32944721899969)",
"Spokane, WA",2014,3,75,,47,,23,,3,,1,,1,,6,,"Spokane, WA
(47.65725947700048, -117.41227666799972)",
"Tacoma, WA",2014,3,133,,90,,29,,8,,6,,,-,6,,"Tacoma, WA
(47.255127174000506, -122.44163694999969)",
Total¶,2014,3,13682,,9244,,3254,,745,,249,,186,,1104,,,
New England,2014,4,529,,364,,120,,27,,10,,8,,55,,,
"Boston, MA",2014,4,157,,98,,41,,7,,6,,5,,18,,"Boston, MA
(42.35866170200046, -71.05673887699965)",
"Bridgeport, CT",2014,4,30,,26,,3,,1,,,-,,-,3,,"Bridgeport, CT
(41.1818843100005, -73.19126911399962)",
"Cambridge, MA",2014,4,14,,12,,,-,2,,,-,,-,2,,"Cambridge, MA
(42.36679009800048, -71.10600946299962)",
"Fall River, MA",2014,4,17,,12,,5,,,-,,-,,-,,-,"Fall River, MA
(41.697354146000464, -71.14364572399967)",
"Hartford, CT",2014,4,35,,21,,12,,2,,,-,,-,2,,"Hartford, CT
(41.763493388000484, -72.67401728199962)",
"Lowell, MA",2014,4,25,,18,,7,,,-,,-,,-,5,,"Lowell, MA
(42.64588438700048, -71.31283694999962)",
"Lynn, MA",2014,4,9,,7,,2,,,-,,-,,-,1,,"Lynn, MA
(42.463701125000455, -70.95021669199963)",
"New Bedford, MA",2014,4,33,,25,,4,,1,,3,,,-,,-,"New Bedford, MA
(41.637672961000476, -70.93086932199964)",
"New Haven, CT",2014,4,33,,24,,6,,2,,1,,,-,4,,"New Haven, CT
(41.307624346000466, -72.92461752399964)",
"Providence, RI",2014,4,45,,37,,8,,,-,,-,,-,4,,"Providence, RI
(41.82387129300048, -71.41198998599964)",
"Somerville, MA",2014,4,2,,,-,1,,1,,,-,,-,,-,"Somerville, MA
(42.38668233800047, -71.09825622299962)",
"Springfield, MA",2014,4,44,,30,,11,,2,,,-,1,,5,,"Springfield, MA
(42.10125058000045, -72.58928991799962)",
"Waterbury, CT",2014,4,21,,16,,3,,2,,,-,,-,1,,"Waterbury, CT
(41.55407106600046, -73.04616830899965)",
"Worcester, MA",2014,4,64,,38,,17,,7,,,-,2,,10,,"Worcester, MA
(42.26341208400049, -71.80218873199965)",
Mid. Atlantic,2014,4,1802,,1299,,372,,86,,28,,17,,96,,,
"Albany, NY",2014,4,39,,28,,7,,2,,1,,1,,5,,"Albany, NY
(42.65155193300046, -73.75520562899965)",
"Allentown, PA",2014,4,37,,29,,6,,2,,,-,,-,1,,"Allentown, PA
(40.6026020970005, -75.47025702899964)",
"Buffalo, NY",2014,4,96,,62,,28,,5,,,-,1,,6,,"Buffalo, NY
(42.88544430100046, -78.87845781999965)",
"Camden, NJ",2014,4,27,,18,,7,,,-,1,,1,,4,,"Camden, NJ
(39.94525155200046, -75.11912817799964)",
"Elizabeth, NJ",2014,4,23,,18,,4,,1,,,-,,-,,-,"Elizabeth, NJ
(40.66351147400047, -74.21145875999963)",
